Size(n),S,Key Comparisons,Time(ms),Time(s)
4890000,32,111229008,425.28979999999996,0.42528980000000005
4900000,32,111516422,429.1792,0.42917920000000004
4910000,32,111780636,426.7922,0.4267922
4920000,32,112053317,430.1011,0.4301011
4930000,32,112312189,427.90119999999996,0.42790120000000004
4940000,32,112610130,427.91589999999997,0.4279159
4950000,32,112882280,434.3522,0.4343522
4960000,32,113165283,431.60389999999995,0.43160390000000004
4970000,32,113433551,432.1044,0.4321044
4980000,32,113703918,429.20079999999996,0.42920080000000005
4990000,32,113989077,446.7369,0.44673690000000005
5000000,32,114255016,435.9369,0.4359369
5010000,32,114549067,452.80379999999997,0.45280380000000003
5020000,32,114847330,446.2063,0.4462063
5030000,32,115109042,438.72389999999996,0.4387239
5040000,32,115385148,439.42769999999996,0.43942770000000003
5050000,32,115657647,441.7237,0.44172370000000005
5060000,32,115946880,439.2929,0.43929290000000004
5070000,32,116225960,441.86519999999996,0.4418652
5080000,32,116506809,457.835,0.45783500000000005
5090000,32,116785005,445.2224,0.4452224
5100000,32,117076076,446.7981,0.44679810000000003
5110000,32,117351049,444.10339999999997,0.44410340000000004
5120000,32,117636735,445.6337,0.4456337
5130000,32,117929893,447.98019999999997,0.44798020000000005
5140000,32,118196875,445.4067,0.44540670000000004
5150000,32,118486893,454.87609999999995,0.4548761
5160000,32,118768578,456.27889999999996,0.45627890000000004
5170000,32,119050807,453.9917,0.45399170000000005
5180000,32,119327816,454.3563,0.45435630000000005
5190000,32,119612609,454.056,0.454056
5200000,32,119890632,459.3449,0.45934490000000006
5210000,32,120163517,482.99859999999995,0.48299860000000006
5220000,32,120450441,454.6653,0.45466530000000005
5230000,32,120742325,456.6171,0.45661710000000005
5240000,32,121009821,455.16519999999997,0.45516520000000005
5250000,32,121278450,464.3642,0.4643642
5260000,32,121577404,461.01649999999995,0.46101650000000005
5270000,32,121863216,467.5467,0.46754670000000004
5280000,32,122148743,466.07329999999996,0.4660733
